Modality,Gender,Race_ETH,Tobacco_Ever,Afib,PVD,Statins,anyPhysicalActivity,weight
CT,M,Black,1,0,1,1,0,0.000466464
,,,,,,,,
,,,,,,,,
CT,M,Black,1,0,1,1,1,0.000431558
,,,,,,,,
,,,,,,,,
CT,M,Black,1,1,0,0,0,0.00019674
,,,,,,,,
,,,,,,,,
CT,M,Black,1,1,0,0,1,0.000279244
,,,,,,,,
,,,,,,,,
CT,M,Black,1,1,0,1,0,0.000336362
,,,,,,,,
,,,,,,,,
CT,M,Black,1,1,0,1,1,0.000510889
,,,,,,,,
,,,,,,,,
CT,M,Black,1,1,1,0,0,4.442512304172471e-05
,,,,,,,,
,,,,,,,,
CT,M,Black,1,1,1,0,1,2.855900766968017e-05
,,,,,,,,
,,,,,,,,
CT,M,Black,1,1,1,1,0,0.000117409
,,,,,,,,
,,,,,,,,
CT,M,Black,1,1,1,1,1,5.0771569190542523e-05
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,0,0,0,0,0.001862682
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,0,0,0,1,0.022234774082383217
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,0,0,1,0,0.001780178
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,0,0,1,1,0.014917321672796276
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,0,1,0,0,0.000111063
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,0,1,0,1,0.000212606
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,0,1,1,0,0.000371267
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,0,1,1,1,0.000377614
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,1,0,0,0,0.000218952
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,1,0,0,1,0.000523582
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,1,0,1,0,0.000349055
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,1,0,1,1,0.000698109
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,1,1,0,0,1.586611537204454e-05
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,1,1,0,1,3.173223074408908e-05
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,1,1,1,0,7.933057686022269e-05
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,0,1,1,1,1,3.8078676892906896e-05
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,0,0,0,0,0.005438904
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,0,0,0,1,0.017785915
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,0,0,1,0,0.006079895
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,0,0,1,1,0.017592348724522984
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,0,1,0,0,0.000425212
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,0,1,0,1,0.000247511
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,0,1,1,0,0.001031297
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,0,1,1,1,0.000745707
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,1,0,0,0,0.000555314
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,1,0,0,1,0.000498196
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,1,0,1,0,0.001028124
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,1,0,1,1,0.000980526
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,1,1,0,0,8.885024608344943e-05
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,1,1,0,1,4.12518999673158e-05
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,1,1,1,0,0.000301456
,,,,,,,,
,,,,,,,,
CT,M,Hispanic,1,1,1,1,1,0.000114236
,,,,,,,,
,,,,,,,,
CT,M,White,0,0,0,0,0,0.001094762
,,,,,,,,
,,,,,,,,
CT,M,White,0,0,0,0,1,0.025119233857020914
,,,,,,,,
,,,,,,,,
CT,M,White,0,0,0,1,0,0.001129667
,,,,,,,,
,,,,,,,,
CT,M,White,0,0,0,1,1,0.017401955
,,,,,,,,
,,,,,,,,
CT,M,White,0,0,1,0,0,0.000142795
,,,,,,,,
,,,,,,,,
CT,M,White,0,0,1,0,1,0.000314149
,,,,,,,,
,,,,,,,,
CT,M,White,0,0,1,1,0,0.00029511
,,,,,,,,
,,,,,,,,
CT,M,White,0,0,1,1,1,0.000596566
,,,,,,,,
,,,,,,,,
CT,M,White,0,1,0,0,0,0.000475983
,,,,,,,,
,,,,,,,,
CT,M,White,0,1,0,0,1,0.001662769
,,,,,,,,
,,,,,,,,
CT,M,White,0,1,0,1,0,0.000723495
,,,,,,,,
,,,,,,,,
CT,M,White,0,1,0,1,1,0.001973745
,,,,,,,,
,,,,,,,,
CT,M,White,0,1,1,0,0,8.567702300904051e-05
,,,,,,,,
,,,,,,,,
CT,M,White,0,1,1,0,1,8.567702300904051e-05
,,,,,,,,
,,,,,,,,
CT,M,White,0,1,1,1,0,0.000225299
,,,,,,,,
,,,,,,,,
CT,M,White,0,1,1,1,1,0.000149141
,,,,,,,,
,,,,,,,,
CT,M,White,1,0,0,0,0,0.003833253
,,,,,,,,
,,,,,,,,
CT,M,White,1,0,0,0,1,0.024538534034404084
,,,,,,,,
,,,,,,,,
CT,M,White,1,0,0,1,0,0.004896283
,,,,,,,,
,,,,,,,,
CT,M,White,1,0,0,1,1,0.023339056
,,,,,,,,
,,,,,,,,
CT,M,White,1,0,1,0,0,0.000631471
,,,,,,,,
,,,,,,,,
CT,M,White,1,0,1,0,1,0.000488676
,,,,,,,,
,,,,,,,,
CT,M,White,1,0,1,1,0,0.001561226
,,,,,,,,
,,,,,,,,
CT,M,White,1,0,1,1,1,0.001462856
,,,,,,,,
,,,,,,,,
CT,M,White,1,1,0,0,0,0.001288329
,,,,,,,,
,,,,,,,,
CT,M,White,1,1,0,0,1,0.001789698
,,,,,,,,
,,,,,,,,
CT,M,White,1,1,0,1,0,0.002310106
,,,,,,,,
,,,,,,,,
CT,M,White,1,1,0,1,1,0.003090719
,,,,,,,,
,,,,,,,,
CT,M,White,1,1,1,0,0,0.000301456
,,,,,,,,
,,,,,,,,
CT,M,White,1,1,1,0,1,0.000161834
,,,,,,,,
,,,,,,,,
CT,M,White,1,1,1,1,0,0.000872636
,,,,,,,,
,,,,,,,,
CT,M,White,1,1,1,1,1,0.000352228
,,,,,,,,
,,,,,,,,
CT,M,Multiple/Other/Unknown,0,0,0,0,0,7.298413071140488e-05
,,,,,,,,
,,,,,,,,
CT,M,Multiple/Other/Unknown,0,0,0,0,1,0.002262508
,,,,,,,,
,,,,,,,,
CT,M,Multiple/Other/Unknown,0,0,0,1,0,5.0771569190542523e-05
,,,,,,,,
,,,,,,,,
CT,M,Multiple/Other/Unknown,0,0,0,1,1,0.001453336
,,,,,,,,
,,,,,,,,
CT,M,Multiple/Other/Unknown,0,0,1,0,0,9.519669223226724e-06
,,,,,,,,
,,,,,,,,
CT,M,Multiple/Other/Unknown,0,0,1,0,1,2.2212561520862357e-05
,,,,,,,,
,,,,,,,,
